date,rain
27/04/2016,1.6
28/04/2016,3.400001
29/04/2016,3.400001
30/04/2016,2.8
01/05/2016,0.6
02/05/2016,1.0
03/05/2016,0.0
04/05/2016,0.0
05/05/2016,0.0
06/05/2016,0.0
07/05/2016,0.0
08/05/2016,0.0
09/05/2016,0.0
10/05/2016,5.999999
11/05/2016,1.6
12/05/2016,0.0
13/05/2016,0.2
14/05/2016,0.0
15/05/2016,0.0
16/05/2016,0.0
17/05/2016,0.0
18/05/2016,3.600001
19/05/2016,4.0
20/05/2016,1.6
21/05/2016,13.59999
22/05/2016,0.0
23/05/2016,1.2
24/05/2016,0.2
25/05/2016,4.8
26/05/2016,1.8
27/05/2016,0.0
28/05/2016,0.0
29/05/2016,0.0
30/05/2016,0.0
31/05/2016,0.4
01/06/2016,0.0
02/06/2016,0.0
03/06/2016,0.0
04/06/2016,0.0
05/06/2016,0.0
06/06/2016,0.0
07/06/2016,0.0
08/06/2016,0.0
09/06/2016,0.0
10/06/2016,13.99999
11/06/2016,2.2
12/06/2016,3.200001
13/06/2016,0.4
14/06/2016,1.2
15/06/2016,1.2
16/06/2016,1.4
17/06/2016,1.2
18/06/2016,0.0
19/06/2016,4.0
20/06/2016,1.2
21/06/2016,0.0
22/06/2016,0.0
23/06/2016,0.0
24/06/2016,0.0
25/06/2016,1.0
26/06/2016,3.200001
27/06/2016,0.0
28/06/2016,11.99999
29/06/2016,6.799998
30/06/2016,1.4
01/07/2016,1.8
02/07/2016,0.4
03/07/2016,0.0
04/07/2016,2.8
05/07/2016,0.0
06/07/2016,0.0
07/07/2016,0.0
08/07/2016,5.799999
09/07/2016,4.2
10/07/2016,0.2
11/07/2016,0.4
12/07/2016,0.0
13/07/2016,0.2
14/07/2016,0.0
15/07/2016,0.8
16/07/2016,0.0
17/07/2016,0.0
18/07/2016,0.0
19/07/2016,0.0
20/07/2016,0.0
21/07/2016,0.0
22/07/2016,0.2
23/07/2016,0.0
24/07/2016,0.0
25/07/2016,0.0
26/07/2016,0.0
27/07/2016,0.8
28/07/2016,1.4
29/07/2016,3.400001
30/07/2016,0.0
31/07/2016,0.0
01/08/2016,0.52
02/08/2016,0.4
03/08/2016,0.24
04/08/2016,2.1199998
05/08/2016,0.04
06/08/2016,0.0
07/08/2016,0.8400000000000001
08/08/2016,0.16
09/08/2016,4.5200000000000005
10/08/2016,5.799999
11/08/2016,9.399993599999998
12/08/2016,0.04
13/08/2016,1.2
14/08/2016,0.0
15/08/2016,0.0
16/08/2016,0.04
17/08/2016,0.0
18/08/2016,0.0
19/08/2016,9.919994800000001
20/08/2016,1.8399999999999999
21/08/2016,2.5600004000000003
22/08/2016,4.9599996
23/08/2016,0.04
24/08/2016,0.0
25/08/2016,23.320022
26/08/2016,1.52
27/08/2016,11.839991600000001
28/08/2016,0.32
29/08/2016,0.0
30/08/2016,0.0
31/08/2016,0.0
01/09/2016,0.0
02/09/2016,0.4
03/09/2016,13.19999
04/09/2016,1.1
05/09/2016,0.2
06/09/2016,0.0
07/09/2016,0.0
08/09/2016,0.05
09/09/2016,0.1
10/09/2016,0.25
11/09/2016,0.0
12/09/2016,0.15000000000000002
13/09/2016,5.94999775
14/09/2016,0.0
15/09/2016,0.0
16/09/2016,3.2000002499999995
17/09/2016,0.0
18/09/2016,0.0
19/09/2016,1.7
20/09/2016,0.05
21/09/2016,3.60000025
22/09/2016,0.7999999999999999
23/09/2016,0.0
24/09/2016,0.0
25/09/2016,14.34999
26/09/2016,4.79999975
27/09/2016,0.15000000000000002
28/09/2016,0.0
29/09/2016,1.5999999999999999
30/09/2016,0.8
01/10/2016,2.8
02/10/2016,0.0
03/10/2016,0.2
04/10/2016,0.0
05/10/2016,0.2
06/10/2016,0.0
07/10/2016,1.6
08/10/2016,0.0
09/10/2016,0.2
10/10/2016,1.8
11/10/2016,2.6
12/10/2016,3.0
13/10/2016,12.19999
14/10/2016,0.4
15/10/2016,0.0
16/10/2016,4.2
17/10/2016,0.0
18/10/2016,1.6
19/10/2016,0.4
20/10/2016,0.4
21/10/2016,0.2
22/10/2016,0.2
23/10/2016,0.4
24/10/2016,0.0
25/10/2016,0.0
26/10/2016,0.0
27/10/2016,0.0
28/10/2016,0.2
29/10/2016,0.0
30/10/2016,0.0
31/10/2016,0.0
01/11/2016,0.4
02/11/2016,0.0
03/11/2016,0.2
04/11/2016,0.2
05/11/2016,0.2
06/11/2016,1.2
07/11/2016,0.2
08/11/2016,1.6
09/11/2016,11.59999
10/11/2016,3.400001
11/11/2016,0.0
12/11/2016,8.599997
13/11/2016,1.8
